"Country","QualityofLifeIndex","PurchasingPowerIndex","SafetyIndex","HealthCareIndex","CostofLivingIndex","PropertyPricetoIncomeRatio","TrafficCommuteTimeIndex","PollutionIndex","ClimateIndex","Year"
"Switzerland",206.2,138.1,68.2,68,143.9,7.1,24.6,26.8,NA,2014
"United States",195.5,132.9,49.9,68.6,77.4,2.4,37.1,35.1,NA,2014
"Germany",192.7,112.3,72.9,75.3,87.1,5.6,36.1,30.2,NA,2014
"Sweden",180.9,106.1,61.7,75.2,103.7,9.4,34.1,17.5,NA,2014
"Finland",178.9,97.9,70.8,68.7,103.3,7.8,37,16.7,NA,2014
"Denmark",178.6,100.7,70.7,85.6,114.9,6.4,25,34.8,NA,2014
"Canada",178.3,105.5,63.7,71.9,87.9,5.6,39.2,27.7,NA,2014
"Australia",176,104.2,58.8,73.6,108.5,7.4,36.2,19.4,NA,2014
"United Arab Emirates",173.3,110.6,79.2,60.6,68.2,5.3,28.2,53.8,NA,2014
"Austria",171.8,91.5,74.2,79.7,89.5,9.2,24.5,31.7,NA,2014
"New Zealand",168.6,87.6,57.1,77.8,104.5,5.3,26.6,21,NA,2014
"Japan",168.5,99.6,81.9,85,94.1,8.3,47.6,40.8,NA,2014
"Norway",168.4,94.4,66.3,75.7,144.4,7.4,24.5,22.6,NA,2014
"Netherlands",161,97.5,62.9,66.2,98.8,6.1,35.1,32.4,NA,2014
"United Kingdom",151,94.3,57.4,73.5,100.1,7.7,37.7,33.8,NA,2014
"Estonia",145.4,48.7,70.9,76.3,67.3,10.2,24.7,13.4,NA,2014
"Ireland",142.4,94.6,46.4,42.6,106.6,5.7,22.5,29.3,NA,2014
"Kuwait",141.4,92.5,63.6,66.2,74.1,6.8,17,60,NA,2014
"Saudi Arabia",139.9,100,70.6,50.4,68.1,3.2,23.3,71.5,NA,2014
"France",136.3,92.3,52.7,82.3,100.2,10.3,28.1,46.9,NA,2014
"Belgium",134.7,87.9,58.5,78,100,6,26,56.2,NA,2014
"Slovenia",125.6,60.4,66.8,61.3,75.4,11.1,20.7,33,NA,2014
"Portugal",124.7,54.6,64.9,64.8,69.3,8.4,28.9,30.9,NA,2014
"Puerto Rico",123.6,85.3,40.7,59.9,76.5,5.1,28.4,47.4,NA,2014
"Spain",123.6,72.5,67.6,75.2,77.2,10.5,32,49.8,NA,2014
"Czech Republic",123,62.3,66.1,66.3,56.6,10.4,33.1,38.3,NA,2014
"Lithuania",121.9,43.2,65.3,69.3,60,12.9,22,21.1,NA,2014
"South Korea",117.9,80.6,83.7,79.2,87.6,11.4,31.2,74.2,NA,2014
"Taiwan",114.1,82.3,78.5,78.3,60.2,17.3,27.6,70.8,NA,2014
"South Africa",111.6,96,21.5,59.4,48.6,3.4,41.3,57.9,NA,2014
"Slovakia",108.7,52.4,67.3,63.5,61.5,9.5,37.5,40.8,NA,2014
"Croatia",108.7,48.3,71.1,55.9,69,13.4,33.4,28.7,NA,2014
"Poland",95.2,57.6,62.5,54.8,53.7,11.4,35.3,50.5,NA,2014
"Uruguay",91.9,39.6,53.4,59.6,77.4,11.6,45,21.3,NA,2014
"Israel",91.2,69.3,66.7,75.4,91.5,12.8,46.4,63.8,NA,2014
"Italy",90.6,75.4,54.4,65,96.8,12.2,38,60.4,NA,2014
"Malaysia",89.1,70.5,33.6,69.4,48.7,8,38.7,61.1,NA,2014
"Singapore",88,64.1,78.7,61.8,100,22.6,47.8,41.9,NA,2014
"Mexico",83.5,60.5,47.5,70.6,47,6.5,39,71.2,NA,2014
"Hungary",83.2,44.9,62.5,46.6,59.3,9.6,34.8,48.3,NA,2014
"Argentina",81.1,57.1,42.5,76.7,66.8,9,45,57.5,NA,2014
"India",78,62.3,56.3,64.6,26.7,10.2,47.7,74.3,NA,2014
"Greece",77.5,44.3,57,59,83.8,11.7,37,45.3,NA,2014
"Bosnia And Herzegovina",74.6,44.5,55,54.4,49.8,12,22.6,58.2,NA,2014
"Belarus",74.4,33.9,67.1,48,50.3,16.8,24.8,42.7,NA,2014
"Hong Kong",73.2,71.4,77.3,71.8,76.4,27.1,47.7,63.8,NA,2014
"Chile",69.3,58.3,52.9,58.7,60.2,9.5,42.1,71,NA,2014
"Serbia",69.3,37.4,60.7,54.4,51.6,16.9,24.4,49.6,NA,2014
"Turkey",67.8,55.8,60,57.5,49.9,6.9,51.9,77.1,NA,2014
"Romania",63.3,36.5,71.3,47.3,48.2,13.2,33.3,62.6,NA,2014
"Bulgaria",62.6,37.4,60,58,50,9.9,34.7,66.7,NA,2014
"Thailand",56.6,37,62.4,85.4,45.9,19.1,32.8,71.1,NA,2014
"Ecuador",42.3,27,40,59.4,45.2,12.7,42.8,53.7,NA,2014
"Kazakhstan",40.6,37.3,50.6,60.2,63.1,11.3,40,74.4,NA,2014
